xid,name,rate,osm,wikidata,kinds,point.lon,point.lat
N2364574311,Klamm,7,node/2364574311,Q1012675,"fortifications,historic,historical_places,interesting_places,castles,historic_settlements",10.948995590209961,47.29822540283203
W936997057,"Pfarrkirche hl. Johannes der Täufer, Unterleutasch",7,way/936997057,Q38076318,"cemeteries,religion,historic,churches,burial_places,interesting_places,catholic_churches",11.212047576904297,47.41569137573242
N5703078694,Schlosskopf-Info,7,node/5703078694,Q1408966,"fortifications,historic,interesting_places,castles",10.709240913391113,47.46392822265625
N3405098766,Festung Schlosskopf,7,node/3405098766,Q1408966,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",10.710784912109375,47.46426010131836
W195980828,St. Antonius,7,way/195980828,Q41289719,"religion,churches,interesting_places,other_churches",10.654826164245605,47.680641174316406
N8643307666,St. Antonius von Padua,7,node/8643307666,Q56251828,"religion,churches,interesting_places,other_churches",10.70713996887207,47.729122161865234
N8721330536,Maria 7 Schmerzen,7,node/8721330536,Q41289603,"religion,churches,interesting_places,other_churches",10.751487731933594,47.68430709838867
N8646935918,St. Anna,7,node/8646935918,Q16267385,"religion,churches,interesting_places,other_churches",10.809244155883789,47.77591323852539
W656366758,Centre d'incendie et de secours de Jussey,7,way/656366758,Q15953906,"religion,churches,interesting_places,other_churches",5.90377140045166,47.82615280151367
N4404150969,Maison Cordienne,7,node/4404150969,Q13518239,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",5.901381015777588,47.824581146240234
N2345461072,Tour MXV,7,node/2345461072,Q13517554,"fortifications,defensive_walls,historic,interesting_places,castles",6.5642571449279785,47.84147262573242
N4829316107,Croix monumentale du Mont-Dahin,7,node/4829316107,Q13518650,"religion,other_temples,interesting_places",6.549827575683594,47.86931610107422
N791244067,Statue du Volontaire de 1792,7,node/791244067,Q3497598,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",6.589704513549805,48.01731872558594
N7140050872,Le Volontaire,7,node/7140050872,Q3497598,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",6.589504718780518,48.017242431640625
W652947227,Château Anthoine,7,way/652947227,Q17624810,"fortifications,historic,interesting_places,castles",6.170162200927734,48.65690994262695
W40610845,Pharmacie Jacques,7,way/40610845,Q3378571,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.171479225158691,48.68657684326172
W203267364,Porte Saint-Nicolas,7,way/203267364,Q3398959,"fortifications,defensive_walls,historic,interesting_places",6.186493873596191,48.68545913696289
N1225761355,Maison Gaudin,7,node/1225761355,Q3278746,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.190492630004883,48.68854522705078
W36987560,Bibliothèque municipale de Nancy,7,way/36987560,Q630448,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.179088592529297,48.69190979003906
W864815519,Hôtel de Lenoncourt,7,way/864815519,Q22958269,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.17834997177124,48.69557189941406
W776799200,Monument national commémoratif de la guerre de 1870,7,way/776799200,Q3323405,"historic,monuments_and_memorials,interesting_places,monuments",5.879486560821533,49.099586486816406
W63234096,Les Trinitaires,7,way/63234096,Q3235832,"religion,theatres_and_entertainments,concert_halls,monasteries,cultural,interesting_places",6.178974628448486,49.12138366699219
N4677927237,Château de romécourt,7,node/4677927237,Q13361782,"fortifications,historic,interesting_places,castles",6.8310980796813965,48.7130241394043
N2920569265,Château de romécourt,7,node/2920569265,Q13361782,"fortifications,historic,historical_places,interesting_places,castles,historic_settlements",6.831454277038574,48.71366500854492
W133180556,Château des Étangs,7,way/133180556,Q22979667,"fortifications,historic,interesting_places,castles",6.377309322357178,49.14126968383789
W95495952,Jüdischer Friedhof Nonnenweier,7,way/95495952,Q1716739,"cemeteries,historic,burial_places,interesting_places",7.7718353271484375,48.339866638183594
W63007546,Chapelle Notre-Dame de Lorette,7,way/63007546,Q48757390,"religion,churches,interesting_places,catholic_churches",7.158919811248779,47.9239616394043
W84364348,église Sainte-Odile de Soultzmatt,7,way/84364348,Q15954041,"religion,churches,interesting_places,catholic_churches",7.197238922119141,47.9756965637207
N2650496021,Le Burgstall,7,node/2650496021,Q14004696,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.20957612991333,47.91080093383789
N681837591,Munster,7,node/681837591,Q3097136,"railway_stations,industrial_facilities,interesting_places",7.13408088684082,48.03806686401367
N681837946,Munster,7,node/681837946,Q3097136,"railway_stations,industrial_facilities,interesting_places",7.134087085723877,48.03814697265625
N880817136,Fontaine au Lion,7,node/880817136,Q14627821,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.13688850402832,48.0406494140625
R6677473,Château de Hagueneck,7,relation/6677473,Q15940178,"fortifications,historic,interesting_places,castles",7.2751617431640625,48.052310943603516
W110603252,Neuer Jüdischer Friedhof,7,way/110603252,Q105296734,"cemeteries,historic,burial_places,interesting_places",7.57749605178833,48.03705596923828
W27197827,"Jewish cemetery, Ihringen",7,way/27197827,Q1312499,"cemeteries,historic,burial_places,interesting_places",7.6352033615112305,48.04585647583008
N767540820,Fontaine,7,node/767540820,Q15948819,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.313050270080566,48.196624755859375
N2360422021,Château du Girsberg,7,node/2360422021,Q1011967,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.30718469619751,48.20344924926758
W150354488,Cimetière de Lièpvre,7,way/150354488,Q15948341,"cemeteries,historic,burial_places,interesting_places",7.28157377243042,48.27336883544922
W29457488,Remparts Sud,7,way/29457488,Q15953240,"fortifications,defensive_walls,historic,interesting_places",7.453278541564941,48.25496292114258
N6695821599,Place de l'Etoile,7,node/6695821599,Q15952534,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.479920387268066,48.46273422241211
W100124932,chapelle Notre Dame du Grasweg,7,way/100124932,Q14627913,"religion,churches,interesting_places,other_churches",7.576177597045898,48.35866165161133
